"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","managed","no_take","pp_all_mpas","pp_managed","pp_no_take"
"French Guiana","GUF","FRA",39,"saltmarshes",0,0,0,0,NA,NA,NA
"French Guiana","GUF","FRA",39,"seagrasses",0,0,0,0,NA,NA,NA
"Senkaku Islands",NA,"TWN",40,"coldcorals",0,0,0,0,NA,NA,NA
"Senkaku Islands",NA,"TWN",40,"coralreefs",7,0,0,0,0,0,0
"Senkaku Islands",NA,"TWN",40,"mangroves",0,0,0,0,NA,NA,NA
"Senkaku Islands",NA,"TWN",40,"saltmarshes",0,0,0,0,NA,NA,NA
"Senkaku Islands",NA,"TWN",40,"seagrasses",0,0,0,0,NA,NA,NA
"Hawaii",NA,"USA",41,"coldcorals",449,208,0,0,46.3251670378619,0,0
"Hawaii",NA,"USA",41,"coralreefs",3347,3108,0,0,92.8592769644458,0,0
"Hawaii",NA,"USA",41,"mangroves",3,1,0,0,33.3333333333333,0,0
"Hawaii",NA,"USA",41,"saltmarshes",3,1,0,0,33.3333333333333,0,0
"Hawaii",NA,"USA",41,"seagrasses",596,79,0,0,13.255033557047,0,0
"Iran","IRN","IRN",42,"coldcorals",0,0,0,0,NA,NA,NA
"Iran","IRN","IRN",42,"coralreefs",111,3,0,0,2.7027027027027,0,0
"Iran","IRN","IRN",42,"mangroves",85,85,0,0,100,0,0
"Iran","IRN","IRN",42,"saltmarshes",0,0,0,0,NA,NA,NA
"Iran","IRN","IRN",42,"seagrasses",2712,292,0,0,10.7669616519174,0,0
"Crozet Islands","ATF","FRA",43,"coldcorals",4,4,0,2,100,0,50
"Crozet Islands","ATF","FRA",43,"coralreefs",0,0,0,0,NA,NA,NA
"Crozet Islands","ATF","FRA",43,"mangroves",0,0,0,0,NA,NA,NA
"Crozet Islands","ATF","FRA",43,"saltmarshes",0,0,0,0,NA,NA,NA
"Crozet Islands","ATF","FRA",43,"seagrasses",0,0,0,0,NA,NA,NA
"Georgia","GEO","GEO",44,"coldcorals",0,0,0,0,NA,NA,NA
"Georgia","GEO","GEO",44,"coralreefs",0,0,0,0,NA,NA,NA
"Georgia","GEO","GEO",44,"mangroves",0,0,0,0,NA,NA,NA
"Georgia","GEO","GEO",44,"saltmarshes",0,0,0,0,NA,NA,NA
"Georgia","GEO","GEO",44,"seagrasses",0,0,0,0,NA,NA,NA
"Guinea-Bissau","GNB","GNB",45,"coldcorals",1,0,0,0,0,0,0
"Guinea-Bissau","GNB","GNB",45,"coralreefs",0,0,0,0,NA,NA,NA
"Guinea-Bissau","GNB","GNB",45,"mangroves",2641,1002,386,0,37.9401741764483,14.6156758803484,0
"Guinea-Bissau","GNB","GNB",45,"saltmarshes",0,0,0,0,NA,NA,NA
"Guinea-Bissau","GNB","GNB",45,"seagrasses",15408,2351,52,0,15.2583073727934,0.33748701973001,0
"Turks and Caicos Islands","TCA","GBR",46,"coldcorals",3,0,0,0,0,0,0
"Turks and Caicos Islands","TCA","GBR",46,"coralreefs",190,10,0,0,5.26315789473684,0,0
"Turks and Caicos Islands","TCA","GBR",46,"mangroves",116,88,0,0,75.8620689655172,0,0
"Turks and Caicos Islands","TCA","GBR",46,"saltmarshes",0,0,0,0,NA,NA,NA
"Turks and Caicos Islands","TCA","GBR",46,"seagrasses",963,60,0,0,6.23052959501558,0,0
"Mauritania","MRT","MRT",47,"coldcorals",42,0,0,0,0,0,0
"Mauritania","MRT","MRT",47,"coralreefs",0,0,0,0,NA,NA,NA
"Mauritania","MRT","MRT",47,"mangroves",1,0,0,0,0,0,0
"Mauritania","MRT","MRT",47,"saltmarshes",0,0,0,0,NA,NA,NA
"Mauritania","MRT","MRT",47,"seagrasses",0,0,0,0,NA,NA,NA
"Micronesia","FSM","FSM",48,"coldcorals",2,0,0,0,0,0,0
"Micronesia","FSM","FSM",48,"coralreefs",3168,50,0,0,1.57828282828283,0,0
"Micronesia","FSM","FSM",48,"mangroves",80,0,0,0,0,0,0
"Micronesia","FSM","FSM",48,"saltmarshes",0,0,0,0,NA,NA,NA
"Micronesia","FSM","FSM",48,"seagrasses",1601,0,0,0,0,0,0
"New Caledonia","NCL","FRA",49,"coldcorals",70,62,57,0,88.5714285714286,81.4285714285714,0
"New Caledonia","NCL","FRA",49,"coralreefs",4608,3629,1728,114,78.7543402777778,37.5,2.47395833333333
"New Caledonia","NCL","FRA",49,"mangroves",293,96,0,0,32.7645051194539,0,0
"New Caledonia","NCL","FRA",49,"saltmarshes",0,0,0,0,NA,NA,NA
"New Caledonia","NCL","FRA",49,"seagrasses",1483,1175,0,9,79.2312879298719,0,0.606877950101146
"Mexico","MEX","MEX",50,"coldcorals",119,47,8,0,39.4957983193277,6.72268907563025,0
"Mexico","MEX","MEX",50,"coralreefs",949,816,667,0,85.9852476290832,70.2845100105374,0
"Mexico","MEX","MEX",50,"mangroves",9669,7302,4893,0,75.5197021408625,50.6050263729445,0
"Mexico","MEX","MEX",50,"saltmarshes",2738,2697,2674,0,98.5025566106647,97.6625273922571,0
"Mexico","MEX","MEX",50,"seagrasses",9807,5944,3490,0,60.6097685326807,35.5868257367187,0
"Portugal","PRT","PRT",51,"coldcorals",124,45,0,0,36.2903225806452,0,0
"Portugal","PRT","PRT",51,"coralreefs",0,0,0,0,NA,NA,NA
"Portugal","PRT","PRT",51,"mangroves",0,0,0,0,NA,NA,NA
"Portugal","PRT","PRT",51,"saltmarshes",203,191,3,0,94.0886699507389,1.47783251231527,0
"Portugal","PRT","PRT",51,"seagrasses",0,0,0,0,NA,NA,NA
"Wallis and Futuna","WLF","FRA",52,"coldcorals",31,0,0,0,0,0,0
"Wallis and Futuna","WLF","FRA",52,"coralreefs",414,0,0,0,0,0,0
"Wallis and Futuna","WLF","FRA",52,"mangroves",0,0,0,0,NA,NA,NA
"Wallis and Futuna","WLF","FRA",52,"saltmarshes",0,0,0,0,NA,NA,NA
"Wallis and Futuna","WLF","FRA",52,"seagrasses",0,0,0,0,NA,NA,NA
"Macquarie Island",NA,"AUS",53,"coldcorals",42,12,6,6,28.5714285714286,14.2857142857143,14.2857142857143
"Macquarie Island",NA,"AUS",53,"coralreefs",0,0,0,0,NA,NA,NA
"Macquarie Island",NA,"AUS",53,"mangroves",0,0,0,0,NA,NA,NA
"Macquarie Island",NA,"AUS",53,"saltmarshes",0,0,0,0,NA,NA,NA
"Macquarie Island",NA,"AUS",53,"seagrasses",0,0,0,0,NA,NA,NA
"Saint Kitts and Nevis","KNA","KNA",54,"coldcorals",7,0,0,0,0,0,0
"Saint Kitts and Nevis","KNA","KNA",54,"coralreefs",37,36,0,0,97.2972972972973,0,0
"Saint Kitts and Nevis","KNA","KNA",54,"mangroves",0,0,0,0,NA,NA,NA
"Saint Kitts and Nevis","KNA","KNA",54,"saltmarshes",0,0,0,0,NA,NA,NA
"Saint Kitts and Nevis","KNA","KNA",54,"seagrasses",65,58,0,0,89.2307692307692,0,0
"United Arab Emirates","ARE","ARE",55,"coldcorals",0,0,0,0,NA,NA,NA
"United Arab Emirates","ARE","ARE",55,"coralreefs",120,52,0,15,43.3333333333333,0,12.5
"United Arab Emirates","ARE","ARE",55,"mangroves",70,11,0,9,15.7142857142857,0,12.8571428571429
"United Arab Emirates","ARE","ARE",55,"saltmarshes",47,9,0,5,19.1489361702128,0,10.6382978723404
"United Arab Emirates","ARE","ARE",55,"seagrasses",1012,441,0,32,43.5770750988142,0,3.16205533596838
"Saint Helena","SHN","GBR",56,"coldcorals",1,0,0,0,0,0,0
"Saint Helena","SHN","GBR",56,"coralreefs",0,0,0,0,NA,NA,NA
"Saint Helena","SHN","GBR",56,"mangroves",0,0,0,0,NA,NA,NA
"Saint Helena","SHN","GBR",56,"saltmarshes",0,0,0,0,NA,NA,NA
"Saint Helena","SHN","GBR",56,"seagrasses",0,0,0,0,NA,NA,NA
"Doumeira Islands",NA,"ERI",57,"coldcorals",0,0,0,0,NA,NA,NA
"Doumeira Islands",NA,"ERI",57,"coralreefs",0,0,0,0,NA,NA,NA
"Doumeira Islands",NA,"ERI",57,"mangroves",0,0,0,0,NA,NA,NA
"Doumeira Islands",NA,"ERI",57,"saltmarshes",0,0,0,0,NA,NA,NA
"Doumeira Islands",NA,"ERI",57,"seagrasses",0,0,0,0,NA,NA,NA
"United Kingdom","GBR","GBR",58,"coldcorals",344,191,157,0,55.5232558139535,45.6395348837209,0
"United Kingdom","GBR","GBR",58,"coralreefs",0,0,0,0,NA,NA,NA
"United Kingdom","GBR","GBR",58,"mangroves",0,0,0,0,NA,NA,NA
"United Kingdom","GBR","GBR",58,"saltmarshes",559,523,440,0,93.5599284436494,78.7119856887299,0
"United Kingdom","GBR","GBR",58,"seagrasses",136,108,104,0,79.4117647058823,76.4705882352941,0
"Uruguay","URY","URY",59,"coldcorals",22,0,0,0,0,0,0
"Uruguay","URY","URY",59,"coralreefs",0,0,0,0,NA,NA,NA
"Uruguay","URY","URY",59,"mangroves",0,0,0,0,NA,NA,NA
"Uruguay","URY","URY",59,"saltmarshes",24,0,0,0,0,0,0
"Uruguay","URY","URY",59,"seagrasses",0,0,0,0,NA,NA,NA
"Thailand","THA","THA",60,"coldcorals",4,0,0,0,0,0,0
"Thailand","THA","THA",60,"coralreefs",196,61,61,8,31.1224489795918,31.1224489795918,4.08163265306122
"Thailand","THA","THA",60,"mangroves",2279,242,134,0,10.6186924089513,5.87977182974989,0
"Thailand","THA","THA",60,"saltmarshes",0,0,0,0,NA,NA,NA
"Thailand","THA","THA",60,"seagrasses",1842,575,360,0,31.2160694896851,19.5439739413681,0
"Latvia","LVA","LVA",61,"coldcorals",0,0,0,0,NA,NA,NA
"Latvia","LVA","LVA",61,"coralreefs",0,0,0,0,NA,NA,NA
"Latvia","LVA","LVA",61,"mangroves",0,0,0,0,NA,NA,NA
"Latvia","LVA","LVA",61,"saltmarshes",0,0,0,0,NA,NA,NA
"Latvia","LVA","LVA",61,"seagrasses",0,0,0,0,NA,NA,NA
"Bulgaria","BGR","BGR",62,"coldcorals",0,0,0,0,NA,NA,NA
"Bulgaria","BGR","BGR",62,"coralreefs",0,0,0,0,NA,NA,NA
"Bulgaria","BGR","BGR",62,"mangroves",0,0,0,0,NA,NA,NA
"Bulgaria","BGR","BGR",62,"saltmarshes",0,0,0,0,NA,NA,NA
"Bulgaria","BGR","BGR",62,"seagrasses",0,0,0,0,NA,NA,NA
"Suriname","SUR","SUR",63,"coldcorals",35,0,0,0,0,0,0
"Suriname","SUR","SUR",63,"coralreefs",0,0,0,0,NA,NA,NA
