"UNION","ISO_TER1","MRGID_EEZ","habitat","total","all_mpas","world_area","global_fraction","LPHPI","GPHPI","Target_analysis"
"Antigua and Barbuda","ATG",8414,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Svalbard","SJM",33181,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Yemen","YEM",8353,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Mozambique","MOZ",8347,"coldcorals",12,0,15343,0.000782253502477621,0,0,-0.000234676050743286
"Collectivity of Saint Martin","MAF",8495,"coldcorals",0,0,15343,0,NA,NA,NA
"Saint Vincent and the Grenadines","VCT",8421,"coldcorals",10.0577583312988,0,15343,0.000655643056810997,0,0,-0.000196692917043299
"Jarvis Island","UMI",8442,"coldcorals",0,0,15343,0,NA,NA,NA
"Kerguélen","ATF",8387,"coldcorals",1,1,15343,6.51877918731351e-05,1,6.51877918731351e-05,4.56314543111946e-05
"Liberia","LBR",8391,"coldcorals",7,0,15343,0.000456314543111946,0,0,-0.000136894362933584
"Venezuela","VEN",8433,"coldcorals",67,2,15343,0.00436758205550005,0.0298507462686567,0.00013037558374627,-0.00117989903290375
"Dominica","DMA",8417,"coldcorals",8,0,15343,0.000521502334985081,0,0,-0.000156450700495524
"Christmas Island","CXR",8309,"coldcorals",0,0,15343,0,NA,NA,NA
"United States Virgin Islands","VIR",33180,"coldcorals",8,0,15343,0.000521502334985081,0,0,-0.000156450700495524
"Navassa Island",NA,48951,"coldcorals",6,5,15343,0.000391126751238811,0.833333333333333,0.000325938959365676,0.000208600933994032
"Lithuania","LTU",5684,"coldcorals",0,0,15343,0,NA,NA,NA
"Taiwan","TWN",8321,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"Sint-Eustatius","BES",26526,"coldcorals",0,0,15343,0,NA,NA,NA
"Montenegro","MNE",5691,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"Denmark","DNK",5674,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Palau","PLW",8315,"coldcorals",4,4,15343,0.00026075116749254,1,0.00026075116749254,0.000182525817244778
"Chagos Archipelago",NA,62589,"coldcorals",0,0,15343,0,NA,NA,NA
"Juan de Nova Island","ATF",8339,"coldcorals",0,0,15343,0,NA,NA,NA
"Benin","BEN",8393,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Vanuatu","VUT",8313,"coldcorals",17,1,15343,0.0011081924618433,0.0588235294117647,6.51877918731351e-05,-0.000267269946679854
"Tristan Da Cunha","SHN",8382,"coldcorals",5,1,15343,0.000325938959365676,0.2,6.51877918731351e-05,-3.25938959365676e-05
"Lebanon","LBN",8374,"coldcorals",0,0,15343,0,NA,NA,NA
"Ukraine","UKR",5695,"coldcorals",0,0,15343,0,NA,NA,NA
"Niue","NIU",8447,"coldcorals",0,0,15343,0,NA,NA,NA
"Line Group","KIR",8441,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"India","IND",8480,"coldcorals",7,0,15343,0.000456314543111946,0,0,-0.000136894362933584
"Poland","POL",5687,"coldcorals",0,0,15343,0,NA,NA,NA
"Germany","DEU",5669,"coldcorals",0,0,15343,0,NA,NA,NA
"Argentina","ARG",8466,"coldcorals",62,7,15343,0.00404164309613438,0.112903225806452,0.000456314543111946,-0.000756178385728367
"Hala'ib Triangle","SDN",26582,"coldcorals",0,0,15343,0,NA,NA,NA
"Singapore","SGP",8485,"coldcorals",0,0,15343,0,NA,NA,NA
"Cyprus","CYP",8376,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Ascension","SHN",8379,"coldcorals",9,9,15343,0.000586690126858216,1,0.000586690126858216,0.000410683088800751
"Belize","BLZ",8457,"coldcorals",3,2,15343,0.000195563375619405,0.666666666666667,0.00013037558374627,7.17065710604486e-05
"Montserrat","MSR",8415,"coldcorals",7,0,15343,0.000456314543111946,0,0,-0.000136894362933584
"Japan","JPN",8487,"coldcorals",94.0251235961914,34,15343,0.00612929018783433,0.361605480531133,0.00221638492368659,0.000377597867336295
"Aruba","ABW",26519,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"Honduras","HND",8427,"coldcorals",12,1,15343,0.000782253502477621,0.0833333333333333,6.51877918731351e-05,-0.000169488258870151
"Canary Islands",NA,8364,"coldcorals",28,12,15343,0.00182525817244778,0.428571428571429,0.000782253502477621,0.000234676050743286
"Samoa","WSM",8445,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"Tokelau","TKL",8449,"coldcorals",0,0,15343,0,NA,NA,NA
"Curaçao","CUW",26517,"coldcorals",5,0,15343,0.000325938959365676,0,0,-9.77816878097027e-05
"Namibia","NAM",8395,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"Barbados","BRB",8418,"coldcorals",7,0,15343,0.000456314543111946,0,0,-0.000136894362933584
"Peru","PER",8432,"coldcorals",9,1,15343,0.000586690126858216,0.111111111111111,6.51877918731351e-05,-0.00011081924618433
"Sweden","SWE",5694,"coldcorals",32.8935852050781,18.9407234191895,15343,0.00214426018630987,0.575818151201878,0.00123470393617674,0.000591425880283781
"Egypt","EGY",8490,"coldcorals",0,0,15343,0,NA,NA,NA
"American Samoa","ASM",8444,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Russia","RUS",5690,"coldcorals",18,0,15343,0.00117338025371643,0,0,-0.00035201407611493
"Palmyra Atoll","UMI",8443,"coldcorals",0,0,15343,0,NA,NA,NA
"Madagascar","MDG",8348,"coldcorals",10,1,15343,0.000651877918731351,0.1,6.51877918731351e-05,-0.00013037558374627
"Bonaire","BES",26520,"coldcorals",1,1,15343,6.51877918731351e-05,1,6.51877918731351e-05,4.56314543111946e-05
"Albania","ALB",5670,"coldcorals",6,0,15343,0.000391126751238811,0,0,-0.000117338025371643
"Guatemala","GTM",8430,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Clipperton Island",NA,8401,"coldcorals",0,0,15343,0,NA,NA,NA
"Gambia","GMB",8370,"coldcorals",0,0,15343,0,NA,NA,NA
"Democratic Republic of the Congo","COD",8477,"coldcorals",0,0,15343,0,NA,NA,NA
"Iceland","ISL",5680,"coldcorals",524,311,15343,0.0341584029415228,0.593511450381679,0.020273403272545,0.0100258823900882
"Pitcairn","PCN",8439,"coldcorals",0,0,15343,0,NA,NA,NA
"Ghana","GHA",8400,"coldcorals",8,0,15343,0.000521502334985081,0,0,-0.000156450700495524
"Anguilla","AIA",8412,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Libya","LBY",8372,"coldcorals",0,0,15343,0,NA,NA,NA
"Islas San Félix and San Ambrosio","CHL",22756,"coldcorals",0,0,15343,0,NA,NA,NA
"Bouvet","BVT",NA,"coldcorals",0,0,15343,0,NA,NA,NA
"Spain","ESP",5693,"coldcorals",1429.77880859375,1229,15343,0.0932041233992285,0.85957351767493,0.0801157962120831,0.0521545591923145
"Colombian Exclusive Economic Zone (Quitasueño)",NA,62598,"coldcorals",1,1,15343,6.51877918731351e-05,1,6.51877918731351e-05,4.56314543111946e-05
"Saint-Pierre and Miquelon","SPM",8494,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Serrana Bank",NA,62596,"coldcorals",4,4,15343,0.00026075116749254,1,0.00026075116749254,0.000182525817244778
"Italy","ITA",5682,"coldcorals",174.583206176758,53.003345489502,15343,0.0113806937087951,0.303599336100165,0.00345517105434953,4.09629417109899e-05
"Belgium","BEL",3293,"coldcorals",0,0,15343,0,NA,NA,NA
"Oman","OMN",8354,"coldcorals",5,0,15343,0.000325938959365676,0,0,-9.77816878097027e-05
"Monaco","MCO",21790,"coldcorals",0,0,15343,0,NA,NA,NA
"Bosnia and Herzegovina","BIH",22491,"coldcorals",0,0,15343,0,NA,NA,NA
"Bajo Nuevo Bank",NA,48985,"coldcorals",0,0,15343,0,NA,NA,NA
"Oecusse",NA,21791,"coldcorals",0,0,15343,0,NA,NA,NA
"Australia","AUS",8323,"coldcorals",289.099212646484,105,15343,0.0188457393046862,0.363197115062351,0.00684471814667919,0.00119099635527332
"Protected Zone established under the Torres Strait Treaty","PNG",21798,"coldcorals",0,0,15343,0,NA,NA,NA
"High Seas",NA,NA,"coldcorals",1522,318,15343,0.0992158192309117,0.208935611038108,0.020729717815657,-0.00903502795361653
"Estonia","EST",5675,"coralreefs",0,0,149750,0,NA,NA,NA
"Mayotte","MYT",48944,"coralreefs",315,314,149750,0.00211151006867794,0.996825396825397,0.00210480686211071,0.00147135384150733
"Cameroon","CMR",8475,"coralreefs",0,0,149750,0,NA,NA,NA
"Finland","FIN",5676,"coralreefs",0,0,149750,0,NA,NA,NA
"Bassas da India","ATF",8340,"coralreefs",35,0,149750,0.000234612229853104,0,0,-7.03836689559313e-05
"Faeroe","FRO",8435,"coralreefs",0,0,149750,0,NA,NA,NA
"Gilbert Islands","KIR",8488,"coralreefs",1707,6,149750,0.0114423736102643,0.00351493848857645,4.02192394033893e-05,-0.00339249284367589
"Nigeria","NGA",8474,"coralreefs",0,0,149750,0,NA,NA,NA
"Pakistan","PAK",8359,"coralreefs",0,0,149750,0,NA,NA,NA
"Syria","SYR",8373,"coralreefs",0,0,149750,0,NA,NA,NA
"Philippines","PHL",8322,"coralreefs",13555.421875,2165,149750,0.0908647929340942,0.159714689809313,0.0145124422180563,-0.012746995662172
"Bahrain","BHR",8358,"coralreefs",212.435974121094,4,149750,0.00142400221684475,0.0188292026176315,2.68128262689262e-05,-0.000400387838784498
"British Virgin Islands","VGB",8411,"coralreefs",134,0,149750,0.000898229680009028,0,0,-0.000269468904002708
"Cuba","CUB",8406,"coralreefs",2674,739,149750,0.0179243743607772,0.276364996260284,0.00495366965318412,-0.000423642655049034
"Johnston Atoll","UMI",8452,"coralreefs",79,79,149750,0.000529553318811292,1,0.000529553318811292,0.000370687323167905
"Guyana","GUY",8460,"coralreefs",0,0,149750,0,NA,NA,NA
"Seychelles","SYC",8337,"coralreefs",1482,1397,149750,0.00993415213263716,0.942645074224022,0.00936437957442247,0.00638413393463133
"Phoenix Group","KIR",8450,"coralreefs",87,87,149750,0.000583178971349145,1,0.000583178971349145,0.000408225279944401
"Equatorial Guinea","GNQ",8398,"coralreefs",0,0,149750,0,NA,NA,NA
"Vietnam","VNM",8484,"coralreefs",454.884338378906,101,149750,0.00304918368435226,0.222034463441715,0.000677023863290387,-0.000237731242015292
