"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","pp_all_mpas","pp_mean_all"
"Bangladesh","BGD","BGD",129,"knolls_seamounts",459.929016113281,0,0,22.9153696546726
"Fiji","FJI","FJI",130,"coldcorals",3,0,0,16.6229001904963
"Fiji","FJI","FJI",130,"coralreefs",3341,1202,35.9772523196648,16.6229001904963
"Fiji","FJI","FJI",130,"mangroves",508,174,34.251968503937,16.6229001904963
"Fiji","FJI","FJI",130,"saltmarshes",1295,154,11.8918918918919,16.6229001904963
"Fiji","FJI","FJI",130,"seagrasses",1732,294,16.9745958429561,16.6229001904963
"Fiji","FJI","FJI",130,"knolls_seamounts",530564.875,3404.59545898438,0.641692584527836,16.6229001904963
"Israel","ISR","ISR",131,"coldcorals",0,0,NA,35.2547133659168
"Israel","ISR","ISR",131,"coralreefs",1.82705211639404,1,54.7329761984923,35.2547133659168
"Israel","ISR","ISR",131,"mangroves",0,0,NA,35.2547133659168
"Israel","ISR","ISR",131,"saltmarshes",0,0,NA,35.2547133659168
"Israel","ISR","ISR",131,"seagrasses",19.0156841278076,3,15.7764505333413,35.2547133659168
"Israel","ISR","ISR",131,"knolls_seamounts",0,0,NA,35.2547133659168
"El Salvador","SLV","SLV",132,"coldcorals",0,0,NA,39.6533212157931
"El Salvador","SLV","SLV",132,"coralreefs",0,0,NA,39.6533212157931
"El Salvador","SLV","SLV",132,"mangroves",377.769470214844,299.596282958984,79.3066424315862,39.6533212157931
"El Salvador","SLV","SLV",132,"saltmarshes",0,0,NA,39.6533212157931
"El Salvador","SLV","SLV",132,"seagrasses",0,0,NA,39.6533212157931
"El Salvador","SLV","SLV",132,"knolls_seamounts",3037.09301757812,0,0,39.6533212157931
"French Polynesia","PYF","FRA",133,"coldcorals",0,0,NA,0.924440473245888
"French Polynesia","PYF","FRA",133,"coralreefs",3024,16,0.529100529100529,0.924440473245888
"French Polynesia","PYF","FRA",133,"mangroves",0,0,NA,0.924440473245888
"French Polynesia","PYF","FRA",133,"saltmarshes",0,0,NA,0.924440473245888
"French Polynesia","PYF","FRA",133,"seagrasses",784,14,1.78571428571429,0.924440473245888
"French Polynesia","PYF","FRA",133,"knolls_seamounts",1351920.125,6198.64306640625,0.45850660492285,0.924440473245888
"Cayman Islands","CYM","GBR",134,"coldcorals",2,0,0,14.6022879291279
"Cayman Islands","CYM","GBR",134,"coralreefs",134,48,35.8208955223881,14.6022879291279
"Cayman Islands","CYM","GBR",134,"mangroves",39,8,20.5128205128205,14.6022879291279
"Cayman Islands","CYM","GBR",134,"saltmarshes",0,0,NA,14.6022879291279
"Cayman Islands","CYM","GBR",134,"seagrasses",54,9,16.6666666666667,14.6022879291279
"Cayman Islands","CYM","GBR",134,"knolls_seamounts",54264.54296875,6,0.0110569437642832,14.6022879291279
"Maldives","MDV","MDV",135,"coldcorals",0,0,NA,1.76892564633384
"Maldives","MDV","MDV",135,"coralreefs",2720,117,4.30147058823529,1.76892564633384
"Maldives","MDV","MDV",135,"mangroves",0,0,NA,1.76892564633384
"Maldives","MDV","MDV",135,"saltmarshes",0,0,NA,1.76892564633384
"Maldives","MDV","MDV",135,"seagrasses",2405,23,0.956340956340956,1.76892564633384
"Maldives","MDV","MDV",135,"knolls_seamounts",163899,80.253791809082,0.0489653944252753,1.76892564633384
"Tunisia","TUN","TUN",136,"coldcorals",11.1269159317017,0,0,13.1866231969966
"Tunisia","TUN","TUN",136,"coralreefs",0,0,NA,13.1866231969966
"Tunisia","TUN","TUN",136,"mangroves",0,0,NA,13.1866231969966
"Tunisia","TUN","TUN",136,"saltmarshes",2,1,50,13.1866231969966
"Tunisia","TUN","TUN",136,"seagrasses",5061,139,2.74649278798656,13.1866231969966
"Tunisia","TUN","TUN",136,"knolls_seamounts",7668.76025390625,0,0,13.1866231969966
"Nauru","NRU","NRU",137,"coldcorals",0,0,NA,0
"Nauru","NRU","NRU",137,"coralreefs",4,0,0,0
"Nauru","NRU","NRU",137,"mangroves",0,0,NA,0
"Nauru","NRU","NRU",137,"saltmarshes",0,0,NA,0
"Nauru","NRU","NRU",137,"seagrasses",0,0,NA,0
"Nauru","NRU","NRU",137,"knolls_seamounts",15668.943359375,0,0,0
"Trinidad and Tobago","TTO","TTO",138,"coldcorals",14,0,0,16.042328042328
